sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,137.4601,50.0,30.0,20.0,5155.50053316235,0.394491274567935,26.405884599730175,13578.001123704105
OAT_N,144.1001,50.0,30.0,20.0,5188.462385190038,0.4042421160148043,26.54900792375511,13612.441110560763
OAT_N,149.5685,50.0,30.0,20.0,5215.608257423201,0.4122724626063796,26.666877740787935,13640.804306965427
OAT_N,127.5356,50.0,30.0,20.0,5106.233981889943,0.37991714415536665,26.191964806163078,13526.525272866933
OAT_N,141.9176,50.0,30.0,20.0,5177.628161989671,0.4010371142892332,26.5019647528689,13601.121039579648
OAT_N,141.608,50.0,30.0,20.0,5176.0912659975365,0.4005824666217707,26.495291412339068,13599.515223325003
OAT_N,126.3065,50.0,30.0,20.0,5100.132564370781,0.3781122105375433,26.165471902916238,13520.15024457694
OAT_N,133.7019,50.0,30.0,20.0,5136.844323480051,0.38897235704901567,26.324877660520755,13558.508298613046
OAT_N,149.6608,50.0,30.0,20.0,5216.066447022923,0.412408005176492,26.668867241210755,13641.283043529713
OAT_N,130.0423,50.0,30.0,20.0,5118.6775774438265,0.38359823365158163,26.245996016454246,13539.52688657982
OAT_N,123.6061,50.0,30.0,20.0,5086.727415994942,0.37414667254912065,26.10726554385043,13506.143958355895
OAT_N,133.1168,50.0,30.0,20.0,5133.939808476829,0.38811313757152127,26.312265995326936,13555.473534108547
OAT_N,141.6096,50.0,30.0,20.0,5176.099208612484,0.4005848162221194,26.495325899887025,13599.523522117017
OAT_N,133.6987,50.0,30.0,20.0,5136.828438250159,0.38896765784831844,26.32480868542484,13558.491701029017
OAT_N,140.6681,50.0,30.0,20.0,5171.4254761299435,0.3992022232669647,26.475032133385596,13594.640201691487
OAT_N,142.186,50.0,30.0,20.0,5178.960535646935,0.4014312597477181,26.50775003903883,13602.513161939936
OAT_N,141.0437,50.0,30.0,20.0,5173.2900049886175,0.3997537919488086,26.483128085268696,13596.588343116686
OAT_N,141.7282,50.0,30.0,20.0,5176.687954945387,0.40075898034796253,26.497882289379394,13600.13867007503
OAT_N,133.4182,50.0,30.0,20.0,5135.435998567362,0.388555743537197,26.31876258717349,13557.036819054121
OAT_N,147.6006,50.0,30.0,20.0,5205.839337452526,0.4093826010275703,26.624460212271572,13630.597311463136
OAT_N,126.994,50.0,30.0,20.0,5103.5454067305745,0.3791218044373509,26.18029077117936,13523.716131770305
OAT_N,127.7337,50.0,30.0,20.0,5107.217376902997,0.38020805404853303,26.19623479569461,13527.552767053116
OAT_N,131.0107,50.0,30.0,20.0,5123.484845140155,0.3850203292625979,26.26686960485571,13544.549730446075
OAT_N,140.3803,50.0,30.0,20.0,5169.996798266454,0.39877958890425247,26.468828685696682,13593.147456478027
OAT_N,131.6136,50.0,30.0,20.0,5126.477721734656,0.38590568804397096,26.27986494402057,13547.676819011725
OAT_N,121.4704,50.0,30.0,20.0,5076.125514281759,0.3710103966337474,26.061231133741995,13495.066627041177
OAT_N,125.2841,50.0,30.0,20.0,5095.0572334200115,0.3766108159147603,26.143434359771195,13514.847316480216
OAT_N,122.4993,50.0,30.0,20.0,5081.233112105747,0.3725213365079468,26.083408782550617,13500.403268980455
OAT_N,138.3525,50.0,30.0,20.0,5159.930526648722,0.3958017641623907,26.42512002960364,13582.629774949726
OAT_N,129.4183,50.0,30.0,20.0,5115.57995761472,0.38268188951561066,26.23254587275069,13536.29035769449
OAT_N,123.3278,50.0,30.0,20.0,5085.3458974076975,0.37373798893847854,26.10126686597752,13504.700487220025
OAT_N,122.4828,50.0,30.0,20.0,5081.151203889113,0.3724971062543514,26.083053129712297,13500.317687687819
OAT_N,147.9035,50.0,30.0,20.0,5207.342973744571,0.4098274097435728,26.630989136194334,13632.16837652622
OAT_N,124.0198,50.0,30.0,20.0,5088.781078372028,0.3747541910892668,26.116182730469276,13508.289714765922
OAT_N,122.9282,50.0,30.0,20.0,5083.362229324826,0.373151176251405,26.092653600875057,13502.627863914617
OAT_N,125.1461,50.0,30.0,20.0,5094.372182880881,0.37640816288468976,26.140459808759832,13514.13154566904
OAT_N,134.9059,50.0,30.0,20.0,5142.821141227241,0.3907404313113697,26.350829540359015,13564.75313960331
OAT_N,127.0539,50.0,30.0,20.0,5103.842758377631,0.37920976760040326,26.181581898756036,13524.026817796312
OAT_N,144.2722,50.0,30.0,20.0,5189.316712710213,0.40449484490230525,26.552717490632322,13613.333749376738
OAT_N,143.0895,50.0,30.0,20.0,5183.445631024498,0.4027580496945925,26.527224726276252,13607.199386055148
OAT_N,125.5362,50.0,30.0,20.0,5096.308691687508,0.3769810248196933,26.1488683040463,13516.154894896867
OAT_N,127.6059,50.0,30.0,20.0,5106.58296053415,0.3800203797206851,26.19348010280148,13526.889901041026
OAT_N,148.1813,50.0,30.0,20.0,5208.722010264645,0.4102353591041059,26.636977036708508,13633.609254289593
OAT_N,149.2571,50.0,30.0,20.0,5214.062425989252,0.41181517163852494,26.660165601766643,13639.189154569769
OAT_N,136.8585,50.0,30.0,20.0,5152.514109942492,0.3936078248368452,26.392917281698036,13574.880777906983
OAT_N,145.8774,50.0,30.0,20.0,5197.28514115522,0.4068520814520815,26.587317123121,13621.659512464437
OAT_N,131.743,50.0,30.0,20.0,5127.120080718449,0.3860957119721675,26.282654124461654,13548.347983815824
OAT_N,142.4145,50.0,30.0,20.0,5180.094840343972,0.4017668120475087,26.512675291981548,13603.698333174387
OAT_N,125.2848,50.0,30.0,20.0,5095.060708314049,0.37661184386491275,26.143449448073426,13514.850947201725
OAT_N,129.6617,50.0,30.0,20.0,5116.788227913445,0.3830393224686481,26.237792290983776,13537.552811429572
OAT_N,132.4621,50.0,30.0,20.0,5130.689789723436,0.3871517104788609,26.298154121796948,13552.077772151462
OAT_N,125.5083,50.0,30.0,20.0,5096.170192339379,0.37694005366361394,26.148266927428782,13516.010184711124
OAT_N,148.2923,50.0,30.0,20.0,5209.273029176555,0.4103983626282931,26.639369610348087,13634.184982985531
OAT_N,138.7656,50.0,30.0,20.0,5161.981210545203,0.3964084016024061,26.434024283392002,13584.772419312752
OAT_N,124.6422,50.0,30.0,20.0,5091.870755586189,0.375668185624889,26.129598386624867,13511.517944859239
OAT_N,139.3392,50.0,30.0,20.0,5164.828638003499,0.3972507333273946,26.44638806933488,13587.747536249648
OAT_N,134.6546,50.0,30.0,20.0,5141.573654267217,0.3903713972066109,26.345412839857893,13563.449710582674
OAT_N,137.5465,50.0,30.0,20.0,5155.929434369457,0.3946181529867618,26.407746927319895,13578.449258472849
OAT_N,129.7845,50.0,30.0,20.0,5117.397823610585,0.38321965429540644,26.24043921028954,13538.189743716617
OAT_N,132.4895,50.0,30.0,20.0,5130.825807004394,0.3871919473848313,26.298744721055723,13552.219888964697
OAT_N,121.2735,50.0,30.0,20.0,5075.148076229914,0.3707212489408426,26.05698700987143,13494.045356948996
OAT_N,135.3211,50.0,30.0,20.0,5144.88224980584,0.3913501526018427,26.359779059054066,13566.906676130853
OAT_N,135.8512,50.0,30.0,20.0,5147.513737420279,0.3921286045673525,26.37120521478684,13569.656169659884
OAT_N,123.5435,50.0,30.0,20.0,5086.4166611851615,0.37405474443548004,26.10591621853658,13505.819268118368
OAT_N,132.3161,50.0,30.0,20.0,5129.965026109574,0.3869373094470472,26.295007133045797,13551.320507380215
OAT_N,131.8923,50.0,30.0,20.0,5127.861225975639,0.3863149590547003,26.285872243780467,13549.1223648456
OAT_N,127.5547,50.0,30.0,20.0,5106.328796855864,0.3799451925095285,26.19237650126683,13526.624339696591
OAT_N,120.5048,50.0,30.0,20.0,5071.332146161589,0.36959241282334127,26.040417898549453,13490.058306060939
OAT_N,142.8727,50.0,30.0,20.0,5182.369406699256,0.4024396788473514,26.52255166352797,13606.074899737294
OAT_N,132.6721,50.0,30.0,20.0,5131.732257935155,0.3874600955246203,26.302680612466407,13553.166988603256
OAT_N,120.1153,50.0,30.0,20.0,5069.3986158355665,0.36902043198846846,26.03202233609347,13488.038068880116
OAT_N,128.7196,50.0,30.0,20.0,5112.111516950301,0.38165584841336264,26.217485591651865,13532.666378957034
OAT_N,121.0542,50.0,30.0,20.0,5074.059441568819,0.3703992068430566,26.052260060329466,13492.907903768622
OAT_N,135.5891,50.0,30.0,20.0,5146.212637809367,0.3917437106602404,26.365555723337003,13568.296723793144
OAT_N,120.7819,50.0,30.0,20.0,5072.707707787622,0.3699993342337219,26.046390710761393,13491.495553102803
