sample_type,N_rate,P_rate,K_rate,global_warming,marine_eutrophication,terrestrial_acidification
OAT_P,135,51.8769,30,5152.630148,0.701178555,26.41206746
OAT_P,135,57.3567,30,5168.557707,0.70197642,26.49075079
OAT_P,135,45.228,30,5133.304488,0.700210468,26.31659725
OAT_P,135,43.2835,30,5127.652614,0.699927347,26.28867657
OAT_P,135,44.7442,30,5131.898277,0.700140026,26.30965047
OAT_P,135,56.2785,30,5165.423816,0.701819433,26.47526914
OAT_P,135,47.1661,30,5138.93776,0.700492658,26.34442604
OAT_P,135,40.7663,30,5120.336133,0.69956084,26.25253261
OAT_P,135,49.7773,30,5146.527461,0.700872851,26.38191973
OAT_P,135,52.4425,30,5154.274118,0.701260907,26.4201888
OAT_P,135,57.7012,30,5169.559029,0.70202658,26.4956974
OAT_P,135,59.3328,30,5174.301429,0.702264142,26.51912521
OAT_P,135,51.9262,30,5152.773443,0.701185733,26.41277535
OAT_P,135,50.1645,30,5147.652894,0.700929228,26.38747946
OAT_P,135,48.5838,30,5143.058439,0.700699076,26.36478251
OAT_P,135,46.7348,30,5137.684145,0.70042986,26.33823309
OAT_P,135,58.0939,30,5170.700449,0.702083757,26.5013361
OAT_P,135,55.115,30,5162.041993,0.701650026,26.45856268
OAT_P,135,51.2164,30,5150.710342,0.701082386,26.40258347
OAT_P,135,57.0378,30,5167.630794,0.701929988,26.48617177
OAT_P,135,43.7434,30,5128.989357,0.699994309,26.29528018
OAT_P,135,51.1731,30,5150.584486,0.701076081,26.40196174
OAT_P,135,45.1417,30,5133.053649,0.700197903,26.31535809
OAT_P,135,42.0139,30,5123.962401,0.699742492,26.27044665
OAT_P,135,48.5141,30,5142.85585,0.700688928,26.3637817
OAT_P,135,59.8464,30,5175.794257,0.702338923,26.52649989
OAT_P,135,47.4838,30,5139.861185,0.700538915,26.34898783
OAT_P,135,51.464,30,5151.430014,0.701118437,26.40613871
OAT_P,135,46.3129,30,5136.457853,0.700368431,26.33217511
OAT_P,135,59.1427,30,5173.748886,0.702236464,26.51639561
OAT_P,135,53.8351,30,5158.321842,0.701463671,26.44018486
OAT_P,135,47.8397,30,5140.895642,0.700590734,26.35409812
OAT_P,135,55.2659,30,5162.480598,0.701671997,26.46072942
OAT_P,135,55.518,30,5163.213351,0.701708703,26.46434928
OAT_P,135,41.9977,30,5123.915314,0.699740133,26.27021403
OAT_P,135,56.3496,30,5165.630475,0.701829785,26.47629005
OAT_P,135,51.1418,30,5150.49351,0.701071524,26.40151231
OAT_P,135,49.0158,30,5144.314089,0.700761976,26.37098551
OAT_P,135,52.7629,30,5155.205391,0.701307558,26.42478935
OAT_P,135,56.1917,30,5165.171524,0.701806795,26.4740228
OAT_P,135,41.1472,30,5121.443255,0.699616299,26.25800188
OAT_P,135,54.0314,30,5158.892406,0.701492253,26.44300349
OAT_P,135,55.1086,30,5162.023391,0.701649094,26.45847078
OAT_P,135,46.5311,30,5137.092072,0.700400201,26.3353082
OAT_P,135,51.6794,30,5152.056095,0.701149799,26.4092316
OAT_P,135,48.4796,30,5142.755572,0.700683905,26.36328632
OAT_P,135,55.9751,30,5164.541955,0.701775258,26.47091268
OAT_P,135,53.7146,30,5157.971597,0.701446126,26.43845462
OAT_P,135,57.5186,30,5169.028285,0.701999993,26.49307548
OAT_P,135,43.8987,30,5129.440751,0.700016921,26.29751011
OAT_P,135,57.0432,30,5167.646489,0.701930774,26.48624931
OAT_P,135,55.0294,30,5161.793188,0.701637563,26.45733357
OAT_P,135,48.3694,30,5142.435265,0.700667859,26.36170398
OAT_P,135,52.461,30,5154.32789,0.701263601,26.42045443
OAT_P,135,59.8969,30,5175.94104,0.702346276,26.52722501
OAT_P,135,45.5853,30,5134.343014,0.700262491,26.32172765
OAT_P,135,41.7982,30,5123.335448,0.699711086,26.26734945
OAT_P,135,49.9845,30,5147.129707,0.70090302,26.38489487
OAT_P,135,51.2959,30,5150.941416,0.701093961,26.403725
OAT_P,135,59.5279,30,5174.868506,0.702292549,26.52192661
OAT_P,135,44.3189,30,5130.662102,0.700078102,26.30354367
OAT_P,135,49.2033,30,5144.859075,0.700789276,26.37367778
OAT_P,135,46.784,30,5137.82715,0.700437023,26.33893954
OAT_P,135,48.1221,30,5141.716465,0.700631852,26.35815305
OAT_P,135,55.703,30,5163.751071,0.70173564,26.46700565
OAT_P,135,49.6027,30,5146.019969,0.700847429,26.37941268
OAT_P,135,41.3648,30,5122.07573,0.699647982,26.26112635
OAT_P,135,46.1279,30,5135.920133,0.700341495,26.32951874
OAT_P,135,48.4608,30,5142.700928,0.700681167,26.36301637
OAT_P,135,45.781,30,5134.911835,0.700290986,26.32453767
OAT_P,135,44.2837,30,5130.55979,0.700072977,26.30303824
OAT_P,135,54.4926,30,5160.232928,0.701559404,26.44962576
